City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,pangoa,-12.1167,-73.0,19.41,96,27,1.5,PE,1732335656
294,letlhakeng,-24.0944,25.0298,21.74,41,3,1.31,BW,1732335657
295,essaouira,31.5125,-9.77,20.72,40,0,2.57,MA,1732335658
296,ulysses,37.5814,-101.3552,5.02,93,0,3.09,US,1732335659
297,beykonak,36.3257,30.303,18.01,71,35,2.3,TR,1732335660
298,pedregal,8.3667,-82.4333,22.82,94,100,0.89,PA,1732335662
299,parras de la fuente,25.4167,-102.1833,14.53,43,0,2.62,MX,1732335663
300,sinabang,2.4803,96.3801,25.87,90,100,2.19,ID,1732335664
301,nizhnesortymskiy,62.4397,71.7603,-6.48,90,46,6.94,RU,1732335665
302,menaka,15.9182,2.4022,21.64,16,9,3.75,ML,1732335667
303,mo i rana,66.3128,14.1428,-5.93,86,100,1.03,NO,1732335668
304,yongchuan,29.3514,105.8947,13.14,92,100,1.61,CN,1732335669
305,kruisfontein,-34.0033,24.7314,16.56,84,82,3.4,ZA,1732335670
306,formosa do rio preto,-11.0483,-45.1931,21.78,97,95,1.74,BR,1732335671
307,pionerskiy,54.9508,20.2275,0.91,66,100,14.13,RU,1732335672
308,carnarvon,-24.8667,113.6333,29.09,45,0,6.74,AU,1732335674
309,zholymbet,51.7433,71.7122,-7.78,91,9,3.38,KZ,1732335675
310,tottori,35.5,134.2333,11.04,62,75,11.83,JP,1732335676
311,aripuana,-9.1667,-60.6333,22.16,99,100,0.92,BR,1732335677
312,abaza,52.655,90.0928,-5.69,74,36,2.84,RU,1732335678
313,ocean shores,46.9737,-124.1563,10.57,89,20,6.17,US,1732335679
314,kamyzyak,46.11,48.0736,2.99,100,0,4.0,RU,1732335680
315,coquimbo,-29.9533,-71.3436,13.85,88,0,1.54,CL,1732335460
316,kapa'a,22.0752,-159.319,24.18,64,75,2.57,US,1732335682
317,weno,7.4515,151.8468,30.97,79,100,5.66,FM,1732335683
318,yarmouth,41.7057,-70.2286,8.89,94,100,1.34,US,1732335685
319,yuzhno-kurilsk,44.0306,145.8556,3.15,72,100,11.64,RU,1732335686
320,mota del cuervo,39.5101,-2.8738,11.01,91,100,2.79,ES,1732335687
321,arteche,12.2645,125.4048,29.42,67,81,4.07,PH,1732335688
322,assab,13.0092,42.7394,27.28,78,47,8.07,ER,1732335689
323,ta`u,-14.2336,-169.5144,27.16,84,100,9.04,AS,1732335690
324,debre werk',10.6667,38.1667,13.33,77,93,0.81,ET,1732335691
325,kirgiz-miyaki,53.6324,54.7979,-0.16,88,100,5.43,RU,1732335692
326,kalat,29.0225,66.5916,11.15,40,0,0.05,PK,1732335693
327,vila franca do campo,37.7167,-25.4333,20.23,99,100,5.81,PT,1732335694
328,rebrikha,53.0733,82.3408,-8.95,92,100,1.25,RU,1732335674
329,itoman,26.1247,127.6694,24.43,55,40,8.23,JP,1732335696
330,cabedelo,-6.9811,-34.8339,25.37,82,78,4.29,BR,1732335660
331,lebu,-37.6167,-73.65,13.6,93,58,0.21,CL,1732335699
332,val-d'or,48.1002,-77.7828,4.05,87,100,1.03,CA,1732335700
333,rurrenabaque,-14.4413,-67.5278,22.86,100,100,0.54,BO,1732335701
334,alibag,18.6411,72.8792,25.05,51,100,1.98,IN,1732335702
335,nagqu,31.5,92.0,-1.74,20,100,2.66,CN,1732335703
336,vorkuta,67.5,64.0,-6.13,96,91,6.16,RU,1732335674
337,ghanzi,-21.5667,21.7833,22.76,38,11,3.62,BW,1732335706
338,fallon,39.4735,-118.7774,13.93,34,100,2.57,US,1732335707
339,murzuq,25.9155,13.9184,16.81,40,1,3.06,LY,1732335708
340,kingston,17.997,-76.7936,23.27,89,85,0.83,JM,1732335230
341,sinan,34.8262,126.1086,8.75,56,48,3.97,KR,1732335618
342,almus,40.3758,36.9044,9.02,84,6,4.56,TR,1732335712
343,saint-joseph,-21.3667,55.6167,28.21,77,19,4.21,RE,1732335713
344,hasaki,35.7333,140.8333,14.52,39,100,8.44,JP,1732335714
345,ain sukhna,29.6002,32.3167,18.16,72,0,3.18,EG,1732335715
346,taksimo,56.3444,114.8794,-11.75,85,100,0.29,RU,1732335716
347,port macquarie,-31.4333,152.9167,23.93,64,6,5.36,AU,1732335482
348,sault ste. marie,46.5168,-84.3333,6.16,81,100,3.6,CA,1732335718
349,miles city,46.4083,-105.8406,-3.46,80,100,5.66,US,1732335719
350,cafarnaum,-11.6936,-41.4683,21.94,84,100,0.77,BR,1732335721
351,utrik,11.2278,169.8474,28.24,80,49,8.83,MH,1732335722
352,toba,34.4833,136.85,12.89,54,22,11.53,JP,1732335724
353,kailua-kona,19.6406,-155.9956,24.98,89,0,0.0,US,1732335725
354,polokwane,-23.9045,29.4688,19.47,73,75,1.54,ZA,1732335573
355,moramanga,-18.9333,48.2,21.07,83,71,0.72,MG,1732335727
356,arkalyk,50.2486,66.9114,-5.53,77,1,4.39,KZ,1732335728
357,kilindoni,-7.9139,39.6668,27.0,76,21,2.68,TZ,1732335729
358,darhan,49.4867,105.9228,-6.38,78,20,0.58,MN,1732335731
359,kulhudhuffushi,6.6221,73.07,26.23,81,100,3.03,MV,1732335732
